HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.1941791,0.8684303,1.674682,-0.2842812,0.6097117,1.80555,0.05707482,0.6805348,1.662078,-0.1560857,-0.2474283,1.64362,0.1308802,-0.1735396,1.625161,-0.282918,0.383679,1.85946,0.1674529,0.5357538,1.608656,-0.1090637,0.6959453,1.698272,-0.2317369,0.6123957,1.53,-0.1101929,0.5791225,1.514867,-0.119966,-0.709293,1.527265,0.1218617,-0.6917721,1.528396
-0.1990166,0.8647932,1.670864,-0.2816993,0.6078758,1.79995,0.05319332,0.6801244,1.65999,-0.1563046,-0.2473698,1.645723,0.1299525,-0.1741666,1.6284,-0.2540047,0.4012825,1.796193,0.1632571,0.5329619,1.611015,-0.1097555,0.6952083,1.698025,-0.2112918,0.5832229,1.502093,-0.1412694,0.5726342,1.48399,-0.1196022,-0.7094276,1.52801,0.1218305,-0.6918043,1.531006
-0.2335271,0.840464,1.639942,-0.2809041,0.6013306,1.791157,0.0467166,0.6793755,1.65596,-0.1558381,-0.2510422,1.648442,0.1287605,-0.1749737,1.632045,-0.28475,0.3779044,1.852506,0.1586012,0.5309265,1.613238,-0.1136915,0.6921044,1.694858,-0.149537,0.5651675,1.475243,-0.1475169,0.5647628,1.4767,-0.1160113,-0.7105927,1.52466,0.1219476,-0.6915462,1.531133
-0.2364237,0.8387401,1.636647,-0.2773294,0.5886865,1.767764,0.04325709,0.678828,1.653877,-0.1555892,-0.2508666,1.649841,0.1283351,-0.1762818,1.634882,-0.2845286,0.3748445,1.851775,0.1545495,0.5296894,1.614874,-0.1175543,0.6890429,1.691396,-0.1518244,0.5691304,1.47846,-0.1391948,0.5626339,1.487492,-0.1150112,-0.7108349,1.526123,0.1224229,-0.6914841,1.531365
-0.2579676,0.807063,1.598978,-0.2787774,0.5791807,1.760793,0.03684039,0.6754197,1.647521,-0.1550542,-0.2472146,1.660532,0.1283449,-0.1776197,1.638167,-0.2734788,0.3959097,1.766787,0.1430838,0.5251524,1.609302,-0.1290808,0.6750891,1.674698,-0.1577225,0.5696536,1.482574,-0.1485641,0.5595003,1.49018,-0.1181488,-0.7087225,1.529034,0.1226168,-0.6908779,1.536101
-0.2597973,0.8055483,1.596051,-0.279651,0.562605,1.746848,0.02531251,0.6690677,1.635944,-0.1535611,-0.2430197,1.666052,0.1290546,-0.1793291,1.641016,-0.2732713,0.3906812,1.76719,0.1353469,0.5199756,1.603722,-0.1336108,0.6670811,1.666547,-0.1652466,0.5674971,1.478937,-0.155961,0.5567751,1.486072,-0.1191164,-0.7077428,1.530427,0.1226439,-0.690474,1.542369
-0.2595882,0.8008817,1.595156,-0.2779924,0.5564478,1.741978,0.02309924,0.6678778,1.63337,-0.1518952,-0.2429156,1.669323,0.1299007,-0.1801298,1.643659,-0.2720701,0.3856115,1.765357,0.1322114,0.5180485,1.59867,-0.1345219,0.663671,1.664356,-0.1707328,0.5622836,1.475805,-0.1559833,0.5443449,1.485257,-0.120467,-0.7072027,1.531134,0.12231,-0.6901017,1.546508
-0.2581898,0.796827,1.595004,-0.2700483,0.5404749,1.722928,0.02234399,0.6672736,1.63197,-0.150602,-0.2398777,1.673916,0.1307431,-0.1811915,1.645718,-0.2914493,0.3620735,1.835235,0.1265785,0.5149465,1.591071,-0.1347993,0.6611652,1.662984,-0.1805758,0.5581614,1.46985,-0.1614134,0.5386644,1.48009,-0.1195786,-0.7064089,1.531877,0.122498,-0.6900101,1.544186
-0.2567807,0.7942169,1.594543,-0.2703718,0.542364,1.721733,0.02209364,0.6667257,1.631041,-0.1497229,-0.2414463,1.675185,0.1322434,-0.1846398,1.647183,-0.2912603,0.3622339,1.834847,0.1229959,0.5125652,1.584666,-0.1346372,0.6591014,1.662262,-0.1524085,0.5241184,1.478889,-0.1609239,0.5320222,1.476357,-0.118936,-0.7063106,1.532561,0.1227922,-0.6900859,1.547382
-0.2550022,0.7940729,1.594953,-0.2764462,0.5369409,1.736478,0.02236315,0.6671206,1.630874,-0.1475436,-0.2423615,1.675808,0.1330911,-0.1862895,1.647136,-0.2770432,0.3735227,1.781609,0.1220268,0.5115911,1.5827,-0.1342718,0.6582702,1.662082,-0.1809212,0.5506728,1.465635,-0.155205,0.5276163,1.474892,-0.1189432,-0.7048717,1.532661,0.1223569,-0.6889706,1.547779
-0.2465926,0.7969837,1.599176,-0.2868801,0.552691,1.757662,0.02322807,0.6680484,1.631031,-0.145651,-0.2428294,1.676045,0.1337955,-0.1892252,1.646362,-0.2237702,0.4297517,1.63843,0.1221864,0.5112125,1.58163,-0.1336046,0.6579081,1.662288,-0.1388405,0.5229554,1.477764,-0.147122,0.5227716,1.474225,-0.1186909,-0.7048516,1.5327,0.12202,-0.6888035,1.547138
-0.2323382,0.8051313,1.609732,-0.2912529,0.5677779,1.772304,0.02519102,0.6701825,1.63208,-0.1439518,-0.2437742,1.67565,0.1342258,-0.1869594,1.645172,-0.22893,0.4435236,1.65464,0.1238004,0.5113585,1.581234,-0.1321551,0.6581135,1.663214,-0.1484503,0.5344999,1.475055,-0.1388171,0.5302297,1.475274,-0.1187623,-0.7049093,1.532631,0.1212455,-0.6885853,1.550542
-0.2213642,0.8118307,1.616549,-0.2912118,0.5677974,1.772375,0.02825746,0.6724833,1.63384,-0.1410423,-0.2432872,1.675266,0.1354095,-0.1844185,1.643655,-0.2509251,0.4003242,1.785563,0.1308019,0.5125436,1.583158,-0.1297085,0.6592293,1.665088,-0.2505819,0.5472943,1.540584,-0.1210623,0.5329536,1.485583,-0.1185233,-0.7051572,1.531532,0.1200308,-0.6886955,1.554585
-0.1622518,0.8478047,1.657768,-0.1928786,0.6127913,1.734903,0.07735679,0.6947657,1.653965,-0.129004,-0.218005,1.668642,0.1415035,-0.1829857,1.634736,-0.2448215,0.4269365,1.809549,0.1846608,0.5293111,1.596905,-0.0738645,0.6783934,1.697696,-0.0982152,0.5542321,1.497865,-0.06041063,0.5472557,1.500039,-0.1166396,-0.7059317,1.528462,0.119637,-0.6887948,1.55495
-0.1515266,0.8539439,1.666417,-0.186063,0.625194,1.739543,0.08138174,0.6957983,1.65632,-0.1269818,-0.2140677,1.666738,0.1463172,-0.1835492,1.627655,-0.2400058,0.4315521,1.809872,0.1891837,0.5309942,1.597772,-0.0691408,0.6807817,1.699944,-0.2223869,0.578894,1.56845,-0.05228585,0.5571896,1.505183,-0.1177413,-0.7049285,1.525347,0.119526,-0.6891099,1.555604
