HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.07132913,0.7702263,1.983067,-0.2740122,0.5401899,1.830817,-0.03577689,0.5381395,2.050069,-0.15301,0.588675,1.944708,-0.2079043,-0.2163477,1.61531,0.03789052,-0.2499704,1.7829,-0.4075975,0.4156364,1.736697,-0.02045984,0.34247,2.149033,-0.1480855,0.3598066,1.904198,-0.1116248,0.3788047,1.678072,0.0561785,0.4723195,2.059044,-0.2042702,-0.7676511,1.547152,0.07307104,-0.5724508,1.628374
-0.05529147,0.767496,1.978238,-0.2739394,0.5402047,1.830767,-0.02895642,0.5370349,2.04998,-0.1474907,0.5868977,1.944506,-0.2071266,-0.2192566,1.614119,0.03726479,-0.2507672,1.784994,-0.3782232,0.4006057,1.718582,-0.02143032,0.3416111,2.145962,-0.1463194,0.3568284,1.904249,-0.1018471,0.4008749,1.678309,0.06007306,0.4432452,2.045309,-0.2042586,-0.7694475,1.544664,0.07330757,-0.5732911,1.629625
-0.04684059,0.7660722,1.974857,-0.2732275,0.5402867,1.830223,-0.02370949,0.5361782,2.048979,-0.1423612,0.5855711,1.943459,-0.2069001,-0.2218554,1.612878,0.03720316,-0.2522318,1.78866,-0.3685329,0.3943306,1.711352,-0.02106814,0.338554,2.140925,-0.1430908,0.3543806,1.903572,-0.08686914,0.4240943,1.677642,0.09231081,0.4203962,2.001642,-0.2048705,-0.7715133,1.545798,0.0757646,-0.5745544,1.629496
-0.03845876,0.764847,1.971141,-0.2720062,0.5407348,1.829342,-0.02400861,0.5362632,2.048929,-0.1377196,0.5846156,1.942402,-0.2079354,-0.2237771,1.613805,0.0371374,-0.2551796,1.792922,-0.3525976,0.3891523,1.703604,-0.02167568,0.3193827,2.126157,-0.1404324,0.3532866,1.903693,-0.07876324,0.4420504,1.675659,0.1569399,0.3700821,1.938261,-0.1513155,-0.7210301,1.512761,0.0779358,-0.5769554,1.629668
-0.03020044,0.7640674,1.967137,-0.2694249,0.541776,1.827684,-0.02403364,0.5362973,2.048837,-0.1320112,0.5837981,1.941054,-0.2097895,-0.2242317,1.614302,0.03729093,-0.2599061,1.795992,-0.3146671,0.3789022,1.689358,0.008661887,0.2750728,2.094212,-0.1351745,0.3522663,1.904596,-0.05942364,0.4622595,1.676569,0.1773673,0.2961501,1.893579,-0.1514374,-0.7217169,1.512589,0.07936858,-0.5809074,1.629552
0.0205707,0.7450663,1.92751,-0.2165369,0.543416,1.790608,0.01518134,0.5200198,2.006883,-0.0891956,0.5638803,1.90646,-0.2162704,-0.235064,1.616067,0.04785549,-0.2824194,1.79927,-0.2340134,0.3573162,1.670634,-0.07309929,0.4303216,1.757525,-0.1246894,0.337485,1.900928,-0.0008070207,0.4998657,1.679043,-0.02021604,0.4960546,1.517696,-0.2052736,-0.7722098,1.540927,0.0892228,-0.5987205,1.624127
0.02268511,0.7434934,1.926123,-0.2159599,0.5429249,1.790163,0.01575584,0.5196526,2.006524,-0.0888171,0.5636339,1.906322,-0.2173573,-0.2355635,1.61662,0.0459561,-0.2856417,1.807883,-0.2309225,0.3566332,1.670155,-0.07071892,0.4288421,1.756921,-0.1222634,0.3343627,1.901048,0.002360446,0.4874321,1.676821,0.09097113,0.5759316,1.619053,-0.2053161,-0.7725357,1.541336,0.09284873,-0.600505,1.626309
0.02816567,0.7388388,1.922163,-0.2144716,0.5417722,1.78893,0.01804721,0.5178116,2.005279,-0.08604208,0.5617866,1.905702,-0.2205039,-0.2370978,1.615203,0.04498048,-0.2921551,1.811351,-0.2270365,0.3544572,1.66915,-0.0687548,0.4215778,1.75785,-0.1127565,0.3280225,1.90247,0.03861729,0.4998114,1.681328,0.09655541,0.5684893,1.62453,-0.2054372,-0.7738045,1.541764,0.09487878,-0.6051859,1.625983
0.03443102,0.7335342,1.918489,-0.2124153,0.5399801,1.787567,0.01852241,0.5173731,2.005044,-0.08294687,0.5591714,1.904834,-0.2216564,-0.2382915,1.615478,0.04562089,-0.2938915,1.813981,-0.2266594,0.3511927,1.668803,-0.06549218,0.4168082,1.758366,-0.1102079,0.3253946,1.90308,0.02401662,0.4772512,1.680411,0.1027985,0.5619923,1.626524,-0.2053732,-0.7734415,1.538131,0.09527946,-0.6066774,1.62664
0.07366809,0.7211962,1.895448,-0.1909389,0.5203365,1.777257,0.04673069,0.4948465,1.994854,-0.05449214,0.5350857,1.895596,-0.2226532,-0.2404989,1.614227,0.04694617,-0.2978046,1.815723,-0.2234133,0.3459536,1.668083,-0.05416492,0.4023165,1.751481,-0.099323,0.312012,1.901736,0.03636924,0.4632887,1.681505,0.1121898,0.5558293,1.630796,-0.2056809,-0.7757527,1.540688,0.09566779,-0.610023,1.626689
