HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, HandLeftX, HandLeftY, HandLeftZ, HandRightX, HandRightY, HandRightZ, FootLeftX, FootLeftY, FootLeftZ, FootRightX, FootRightY, FootRightZ
-0.1067114,0.9222066,1.771555,-0.2588967,0.6290134,1.55725,0.01207865,0.605724,1.803576,-0.1905882,-0.2516111,1.357517,-0.03356589,-0.2740587,1.572118,-0.3723122,0.4990558,1.340746,-0.1177798,0.8201684,1.710449,-0.1563502,0.7179509,1.70097,-0.2880795,0.6187872,1.164591,0.1253159,0.8542186,1.838582,-0.19609,-0.6442725,1.219932,-0.01270079,-0.7071314,1.443165
-0.107267,0.9221514,1.772304,-0.2586628,0.6281306,1.557794,0.01187166,0.6055118,1.803863,-0.1909743,-0.252266,1.356382,-0.053225,-0.4043459,1.580028,-0.3724727,0.499137,1.340824,-0.1161985,0.8210129,1.710785,-0.156464,0.7176625,1.701279,-0.287304,0.6194394,1.165846,0.1269253,0.8524917,1.838909,-0.1958751,-0.6452022,1.219037,-0.00809844,-0.7357777,1.422811
-0.1073719,0.9218915,1.772908,-0.2583495,0.6274772,1.558282,0.01175114,0.6052942,1.804103,-0.1908375,-0.2553958,1.357819,-0.03094904,-0.2768147,1.573155,-0.3725315,0.4991774,1.340873,-0.1085847,0.820928,1.699254,-0.1565928,0.7172419,1.701638,-0.2857158,0.620207,1.166841,0.1346937,0.8509385,1.827056,-0.1952937,-0.6461616,1.21722,-0.01249816,-0.7087917,1.441846
-0.1070419,0.9214857,1.773759,-0.258765,0.6274334,1.558823,0.01172338,0.6051357,1.804401,-0.1916195,-0.2545489,1.357184,-0.0522089,-0.4088945,1.580244,-0.3724904,0.4991726,1.341069,-0.1066056,0.8208723,1.697045,-0.15655,0.7171009,1.70194,-0.2844651,0.6201172,1.168213,0.1366998,0.8507636,1.82478,-0.195393,-0.6463732,1.217087,-0.008474825,-0.7353682,1.423081
-0.1066715,0.921112,1.775063,-0.2588699,0.627503,1.559356,0.0118705,0.6049615,1.804821,-0.1919565,-0.2524627,1.357709,-0.0524262,-0.4069654,1.579903,-0.3724281,0.4992633,1.341553,-0.1050369,0.8208268,1.695895,-0.1563334,0.7170181,1.70239,-0.2853562,0.6215953,1.169732,0.138283,0.8506584,1.823586,-0.1958775,-0.645335,1.217958,-0.008377196,-0.7352646,1.423097
-0.1057093,0.9204628,1.776937,-0.2581899,0.6270763,1.560105,0.01198849,0.6049242,1.80531,-0.1925598,-0.2517062,1.358107,-0.0531367,-0.406624,1.579923,-0.3722859,0.4994684,1.342389,-0.1040684,0.8208445,1.695416,-0.1561072,0.7170106,1.70296,-0.2866288,0.6231318,1.170679,0.1392682,0.8508097,1.823065,-0.1960796,-0.6451243,1.218084,-0.008484805,-0.7353029,1.423099
-0.104076,0.9194032,1.778694,-0.2576955,0.6269532,1.560706,0.01224977,0.6048043,1.805846,-0.1931482,-0.2496841,1.359183,-0.05436732,-0.4056513,1.579812,-0.3721208,0.4997084,1.344992,-0.1030764,0.8207546,1.695088,-0.1557415,0.7169757,1.703623,-0.289923,0.6255404,1.174248,0.1402738,0.8508294,1.822699,-0.1966083,-0.6439757,1.219035,-0.008541705,-0.7353312,1.42291
-0.1029818,0.9187409,1.7807,-0.2567015,0.6270147,1.56164,0.01260177,0.6047422,1.80659,-0.1956419,-0.2511314,1.361126,-0.05363071,-0.4066229,1.580366,-0.3725867,0.4995386,1.35053,-0.1021914,0.8206552,1.695067,-0.1550241,0.7168078,1.704707,-0.294526,0.6261691,1.17644,0.1411757,0.8509295,1.822635,-0.1961589,-0.6450962,1.217961,-0.008596811,-0.7353485,1.422981
-0.1009301,0.9174762,1.783751,-0.2559067,0.6277758,1.562506,0.01343899,0.6045122,1.807559,-0.1967362,-0.251018,1.363815,-0.05286069,-0.4067743,1.580862,-0.3729786,0.5004355,1.356356,-0.1009154,0.8205157,1.695692,-0.1542628,0.7165458,1.705874,-0.301506,0.626611,1.179403,0.1424666,0.8511389,1.823209,-0.1962386,-0.6449554,1.217989,-0.008670073,-0.7352036,1.423319
-0.09864627,0.916405,1.78594,-0.2541254,0.628742,1.564613,0.01443997,0.6044344,1.808575,-0.1985998,-0.2513652,1.366051,-0.04559743,-0.3486232,1.585339,-0.373695,0.5018717,1.365245,-0.09949899,0.8205369,1.696419,-0.1528318,0.716472,1.707276,-0.3068153,0.6291199,1.184505,0.1438926,0.85145,1.823892,-0.1962188,-0.6449685,1.217712,-0.009685378,-0.7344376,1.425677
