TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
2,46,0.02449647,0.8566332,1.560824,-0.1071633,0.613726,1.598484,0.2315388,0.6327158,1.503527,0.06442982,0.6713865,1.549652,-0.04362689,-0.2359825,1.335673,0.2734346,-0.1870901,1.257271,-0.1668494,0.3705575,1.531783,0.3885356,0.4513773,1.413895,0.07207173,0.439356,1.517661,-0.09621519,0.301128,1.348632,0.1462761,0.3510408,1.310819,0.03077436,-0.4193486,1.316059,0.1985107,-0.4156783,1.296561
2,47,0.01471765,0.8491893,1.562007,-0.1153945,0.6047806,1.598196,0.2219963,0.6277232,1.506048,0.05493879,0.663213,1.550095,-0.04511109,-0.2464229,1.335645,0.2594104,-0.1994322,1.252358,-0.1684751,0.3909422,1.595764,0.368163,0.4289031,1.429885,0.06501752,0.4309806,1.516342,-0.08254714,0.2856449,1.326046,0.170752,0.2970105,1.302573,0.009474352,-0.4441314,1.30495,0.2506124,-0.5073569,1.130694
2,48,0.006353024,0.8437744,1.563388,-0.1239146,0.5972404,1.599004,0.2170169,0.6244578,1.508126,0.04593248,0.657068,1.550537,-0.0469841,-0.2522014,1.335908,0.2507564,-0.2071104,1.248197,-0.168539,0.3907341,1.595055,0.3299386,0.40164,1.439778,0.05851924,0.424998,1.515189,-0.07016812,0.2908399,1.313898,0.1646421,0.2343976,1.311293,0.01312102,-0.4528256,1.302833,0.2008567,-0.5152868,1.296074
2,49,-0.001494254,0.8411321,1.564972,-0.1249609,0.5962201,1.598651,0.2140674,0.623653,1.509752,0.04219811,0.655519,1.550717,-0.04901385,-0.2529047,1.335623,0.251247,-0.2063747,1.244671,-0.171412,0.3867396,1.580135,0.3483996,0.4744538,1.501645,0.05545835,0.4236428,1.514917,-0.0619358,0.3225253,1.319266,0.2805367,0.3151949,1.349952,0.01697868,-0.4580584,1.302248,0.2209172,-0.5366577,1.284678
2,50,-0.006442821,0.8400854,1.566311,-0.1259204,0.5957168,1.597909,0.2119411,0.6241101,1.511527,0.03983586,0.6548703,1.550575,-0.04996653,-0.2535529,1.335528,0.253789,-0.204286,1.240416,-0.1877617,0.3692108,1.489038,0.3524379,0.4934591,1.515697,0.05381362,0.4232264,1.514745,-0.03894558,0.3874252,1.292015,0.2161811,0.2954939,1.335018,0.01634207,-0.4592605,1.301472,0.2531625,-0.4943892,1.152498
2,51,-0.009978398,0.8400788,1.56681,-0.1269702,0.5959032,1.597122,0.210505,0.625482,1.513294,0.03821462,0.655214,1.550236,-0.05096984,-0.2537752,1.336481,0.2583095,-0.200413,1.235366,-0.1756635,0.3496022,1.532845,0.3614933,0.5208511,1.531729,0.05292525,0.4236293,1.514511,-0.03497098,0.4436771,1.294632,0.2590494,0.3492112,1.33722,0.005195193,-0.4469565,1.30321,0.2583243,-0.4952532,1.147619
2,52,-0.01903054,0.8543321,1.559677,-0.1440916,0.6068767,1.582463,0.2116358,0.6514812,1.526032,0.03565713,0.6693395,1.543609,-0.04817733,-0.2470122,1.344874,0.2686958,-0.1913032,1.235467,-0.1546757,0.3814333,1.51372,0.3807504,0.5620672,1.547547,0.05307471,0.4337662,1.511461,-0.02964121,0.5393208,1.3001,0.2764105,0.4094241,1.343431,0.03194751,-0.4079458,1.319167,0.3520508,-0.5771484,1.130859
2,53,-0.03021402,0.8613245,1.553375,-0.1455557,0.6126435,1.569886,0.2199789,0.665249,1.524366,0.04833374,0.6882637,1.528721,-0.02396259,-0.2384472,1.365005,0.2698985,-0.1843449,1.237636,-0.1227784,0.4234947,1.466579,0.3864195,0.5756131,1.544477,0.0658372,0.4494789,1.50471,-0.02410165,0.5856175,1.298119,0.2577233,0.4285754,1.326837,0.02836344,-0.4004394,1.321909,0.376035,-0.5715436,1.076663
2,54,-0.02607886,0.8627791,1.544421,-0.1387012,0.6101367,1.570089,0.2266925,0.6698357,1.524427,0.05152718,0.6914282,1.526139,-0.01253081,-0.2368574,1.37101,0.2768387,-0.1913811,1.234265,-0.1211576,0.4234072,1.465189,0.3915061,0.5805691,1.538307,0.07186579,0.4529645,1.501738,-0.01621958,0.5885455,1.288852,0.2638779,0.4372936,1.31888,0.02949129,-0.4011779,1.321969,0.3794961,-0.5760554,1.069807
2,55,-0.02117622,0.8565748,1.541349,-0.09104627,0.6048661,1.518492,0.2424911,0.6734039,1.520254,0.06567953,0.6928105,1.517255,0.0006835608,-0.238011,1.374175,0.284055,-0.200561,1.230784,-0.1102391,0.4215552,1.452978,0.4034897,0.5800713,1.521016,0.08422071,0.4535037,1.495281,-0.002245366,0.5856599,1.271739,0.2682393,0.4438248,1.310284,0.1173888,-0.438505,1.327209,0.3814785,-0.579812,1.06694
